wiki_concept,min,1st quartile,meidan,3rd quartile,max
maximum_likelihood.txt,0.0840845247,0.1215645829,0.136930524,0.1538126611,0.2361677594
statistical_inference.txt,0.0751489277,0.1157273787,0.1326797064,0.1488769169,0.2126942886
bayesian_inference.txt,0.0763662859,0.1179294113,0.1310329196,0.144829558,0.2101556434
mathematical_statistics.txt,0.0684009207,0.1184320943,0.1307996614,0.1428863844,0.1902509182
random_variable.txt,0.081490615,0.1147177249,0.1273543993,0.1451104336,0.2039942769
robust_statistics.txt,0.0675183125,0.1084317213,0.1220369843,0.1335034443,0.3553557521
design_of_experiments.txt,0.0612367923,0.1107721923,0.1217880505,0.137564243,0.2059263899
bias_of_an_estimator.txt,0.0719038461,0.0987772158,0.1121822535,0.1263715859,0.2224759069
statistical_model.txt,0.0610146801,0.09574374,0.109537095,0.1235495837,0.1622248513
behrens-fisher_problem.txt,0.0624634867,0.0953549916,0.1085923392,0.123288049,0.1774613903
loss_function.txt,0.05097432,0.0903020153,0.1037500763,0.1230604156,0.1867301092
galtons_problem.txt,0.0480120196,0.0910112646,0.1036121229,0.1173924007,0.1889414464
sufficient_statistic.txt,0.0621301736,0.0845264102,0.0983120964,0.1114013572,0.1637201594
asymptotic_theory_(statistics).txt,0.0487419815,0.0807128527,0.0958377231,0.111841198,0.1692713834
extreme_value_theory.txt,0.0526340283,0.0836756254,0.0950649738,0.1046324,0.1764345043
model_selection.txt,0.0362146925,0.0761039407,0.0936659706,0.1122889765,0.1797790604
uncertainty.txt,0.0509889091,0.0854169207,0.093447542,0.1065316461,0.1990125931
sampling_distribution.txt,0.0445212977,0.079682656,0.0907751306,0.1064932887,0.147943324
maximum_a_posteriori_estimation.txt,0.0352661999,0.0769794679,0.0905037761,0.1086276231,0.1642825994
likelihood-ratio_test.txt,0.0456798468,0.0748173631,0.0895913327,0.1064522465,0.1945206787
consistent_estimator.txt,0.040472342,0.0714631452,0.0889561747,0.1075199572,0.1584026395
completeness_(statistics).txt,0.0465102451,0.0743137256,0.0882012008,0.1052497263,0.1841143713
peirces_criterion.txt,0.0527371396,0.077592041,0.0879849599,0.1006939379,0.1870240452
binomial_proportion_confidence_interval.txt,0.0500604702,0.0744360898,0.0860074816,0.1012664956,0.2545251464
fiducial_inference.txt,0.0464861535,0.0750291311,0.0853948122,0.0954268338,0.1337211877
independent_and_identically_distributed_random_variables.txt,0.0420683678,0.0748751441,0.0853329427,0.1003586151,0.1511953378
entropy_(information_theory).txt,0.0589048119,0.0761541309,0.0845139375,0.0944495143,0.2017908968
efficiency_(statistics).txt,0.0391690282,0.0739820207,0.0842240625,0.1003303409,0.1650973427
principle_of_maximum_entropy.txt,0.0519367072,0.0734273491,0.0836093638,0.0968390916,0.1954995284
shrinkage_estimator.txt,0.0364478161,0.0654824246,0.0814173031,0.0950950784,0.2166764455
information_geometry.txt,0.0440509079,0.0718239327,0.0803487039,0.0943546081,0.177256209
invariant_estimator.txt,0.0418759984,0.0707581261,0.080263544,0.0905186732,0.1820180931
statistical_assumption.txt,0.0347489529,0.0652629614,0.0792667577,0.0932432783,0.1501351259
statistic.txt,0.0323280618,0.0678801361,0.0789870223,0.0921362957,0.1357933618
optimal_design.txt,0.0365854377,0.062689201,0.078741388,0.0925533483,0.2002242644
kullback-leibler_divergence.txt,0.0437304936,0.0683672234,0.0767406076,0.0866910632,0.1897552574
statistical_parameter.txt,0.0348757685,0.0638914641,0.0760525974,0.0893757174,0.1509439922
efficient_estimator.txt,0.0323071982,0.0632852627,0.0739702953,0.091761196,0.1638986615
fisher_consistency.txt,0.0255011702,0.060532785,0.0733672701,0.0900356768,0.1372063849
nuisance_parameter.txt,0.0318014707,0.0589630743,0.0733277939,0.0872370232,0.1511881665
response_surface_methodology.txt,0.0371774089,0.0596538489,0.0726004352,0.089039955,0.1516740926
parametric_model.txt,0.0234069071,0.0574123483,0.072076934,0.0896011762,0.181933887
parameter_space.txt,0.0337896021,0.0608761195,0.072054545,0.0830098418,0.1569014138
pivotal_quantity.txt,0.031762017,0.0579241223,0.0706003026,0.0835734324,0.222855401
errors_and_residuals.txt,0.0375814773,0.05802485,0.0689328874,0.0847257437,0.1881054058
convergence_of_random_variables.txt,0.0366626705,0.0530373727,0.0659103443,0.0868755392,0.1593586704
ancillary_statistic.txt,0.0342073769,0.0568403957,0.0653275784,0.0761149801,0.1164193201
consistency_(statistics).txt,0.0256196629,0.0517311675,0.063791119,0.0782305918,0.1544693639
sensitivity_and_specificity.txt,0.0352217834,0.0533902496,0.0636300161,0.0735908969,0.1107005025
edgeworth_series.txt,0.0307058903,0.0524826587,0.0619169545,0.0720406075,0.1628399861
fisher_transformation.txt,0.030069877,0.0498152334,0.0608590939,0.0725673098,0.1471526828
frequency_(statistics).txt,0.0286764349,0.0499344572,0.0605417274,0.0749014859,0.1499667952
bias_(statistics).txt,0.0185509385,0.0469309286,0.0597474066,0.0740280047,0.1544959559
restricted_maximum_likelihood.txt,0.0212274357,0.0460285371,0.0587728635,0.0719229346,0.1194623599
semiparametric_model.txt,0.0197384079,0.0429217455,0.0548103809,0.071074776,0.1759603271
youdens_j_statistic.txt,0.0207323025,0.0427561061,0.0529327521,0.0637134444,0.1123439211
spatial_dependence.txt,0.0184956132,0.0420680552,0.052792755,0.0627192932,0.1049119073
statistical_population.txt,0.0154982912,0.0394539491,0.047968565,0.0558203296,0.2210886728
window_function.txt,0.0327832572,0.0426320597,0.0479495083,0.0551505247,0.1545790452
statistical_manifold.txt,0.0203860935,0.0383456847,0.0474198919,0.0597620905,0.1463043816
studentization.txt,0.0176421003,0.0376159234,0.0473333766,0.0604675487,0.1198210753
coherence_(statistics).txt,0.0203990149,0.0370923098,0.0470067142,0.0567984926,0.1321188601
shrinkage_(statistics).txt,0.012985704,0.037330279,0.0465700607,0.0597478032,0.1491990482
conditionality_principle.txt,0.0173782479,0.0352246088,0.0459233442,0.0572623687,0.1026456353
a_priori_probability.txt,0.0143206256,0.0316558456,0.0453257987,0.0611046965,0.1345523277
analytic_and_enumerative_statistical_studies.txt,0.0126416169,0.0374494579,0.0446303949,0.0558338722,0.0992224924
winsorising.txt,0.0168958979,0.036968355,0.0439403911,0.0511605845,0.1032928757
berkson_error_model.txt,0.0060879179,0.027730674,0.0389411507,0.0498522245,0.1029069027
recursive_partitioning.txt,0.009185513,0.0295818318,0.0371158686,0.0516865036,0.188250422
exponential_dispersion_model.txt,0.0106407088,0.0254675576,0.0330944356,0.0433929653,0.1092000284
decoupling_(probability).txt,0.0053120978,0.0181846868,0.0283659691,0.0413798848,0.098347197
magnitude_of_completeness.txt,0.0057011967,0.016947889,0.0229677873,0.0352454632,0.0690157782
l-statistic.txt,0.0056998823,0.0160455195,0.0227973291,0.038905186,0.0973254778
